,fold,train_time,train_mae,train_mse,train_rmse,train_r2,test_mae,test_mse,test_rmse,test_r2
0,1,4.057419061660767,0.06851742955005106,0.008556755103580352,0.09250273024933021,0.6875062253346511,0.06938515712258192,0.008618313185354543,0.09283487052479011,0.674694374816273
1,2,4.152798891067505,0.06853911185047602,0.008558257879308041,0.09251085276500289,0.6870393512151396,0.06888933098224855,0.00864572358049482,0.09298238317280763,0.6818532419249663
2,3,4.204763889312744,0.06842918021150683,0.00853181797462613,0.09236784058657066,0.6874213716990145,0.07113823039287147,0.009141249813855801,0.09560988345278851,0.6752573429048313
3,4,5.653936147689819,0.06856299600590164,0.00855041441150872,0.0924684508981778,0.686624639312656,0.06837938351560376,0.00874312190925858,0.0935046625001052,0.691500596930838
4,5,4.5368218421936035,0.06867654145086827,0.008588364743340661,0.09267343062248565,0.686441499520466,0.06650084182423892,0.008048178316607032,0.08971163980558505,0.6944964124955649
5,6,4.113722801208496,0.0685255087465795,0.00855443602187127,0.09249019419306714,0.6867177214120787,0.06920954901201917,0.008670513630556504,0.09311559284328541,0.6896691053412509
6,7,4.174054145812988,0.06844633647899954,0.008544413866567279,0.09243599875896445,0.6872726023809587,0.07044479906793727,0.008892928281971595,0.09430232384184176,0.6781477694887004
7,8,4.418076276779175,0.06869854551694435,0.008597176875940374,0.09272096244075756,0.6855553905636842,0.06626915886437168,0.00789193218147954,0.08883654755493113,0.7104172072262604
8,9,4.461185932159424,0.06853537448879093,0.008548222942747152,0.09245660032008073,0.6855692980035537,0.06898085008654216,0.008833050786667554,0.09398431138582415,0.7075015287413791
9,10,4.223653793334961,0.06858252310236206,0.008579242712296613,0.09262420154741748,0.686460853820542,0.0675457494932381,0.00816481955855958,0.09035939109223556,0.6958947728842315
10,11,4.286553144454956,0.06857178146847788,0.008563111565901789,0.09253708211253361,0.6862224796569668,0.06839108972969729,0.008486417248887618,0.09212175231120834,0.6993694054708672
11,12,4.275151968002319,0.06855819059789339,0.008565073533076187,0.09254768248355108,0.6868631221682406,0.06807592425624952,0.00844757283602797,0.09191067857451586,0.6876984916922274
12,13,4.49071192741394,0.06850201990955042,0.008558842204956002,0.09251401085757768,0.686744068121163,0.06899012476801511,0.008571731071757393,0.09258364365133505,0.6897585997294124
13,14,4.121712923049927,0.0686508924724731,0.008581396778976432,0.0926358288081692,0.6861459357144987,0.06679550067885624,0.00818270851009644,0.09045832471418228,0.6997821131387951
14,15,4.192827224731445,0.06843836044952153,0.00852771524581674,0.09234562927294794,0.6874755013466691,0.07049128761234826,0.009230600833999302,0.09607601591447942,0.6739387892546037
15,16,4.0818891525268555,0.06860661901415982,0.008565463445211679,0.09254978900684582,0.6874736138459455,0.06799067144496673,0.008542808879653774,0.09242731673944546,0.6716005925251612
16,17,4.2091686725616455,0.06847411048470539,0.008550134457659352,0.09246693710542894,0.6878825794528349,0.06964319088145675,0.008711738709461427,0.09333669540679822,0.6682888610330942
17,18,4.161003112792969,0.06847161269401938,0.008536553121886437,0.09239346904346886,0.6881554501093929,0.07056336716390414,0.009013178224708093,0.09493775974135946,0.6615375147877767
18,19,4.2141618728637695,0.0686712496222441,0.008584247572964844,0.09265121463297091,0.686636143346787,0.06623354556016897,0.008112389734902688,0.09006880555943156,0.6908240630540055
19,20,4.4516589641571045,0.06856996761450555,0.008562961966320013,0.0925362737866617,0.6871925381737022,0.06781957006768677,0.008458686384343673,0.09197111712023331,0.682444588493686
